id,room_type,minimum_nights,census_tract,census_NBH,amenities,price
3781,Entire home/apt,32,512,East Boston,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Patio or balcony"", ""Extra pillows and blankets"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Essentials"", ""Hot water"", ""Central air conditioning"", ""Dishes and silverware"", ""Hangers"", ""Dryer"", ""Heating"", ""Microwave""]",132.0
5506,Entire home/apt,3,814,Roxbury,"[""Wifi"", ""Keypad"", ""Free street parking"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Bathtub"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",149.0
6695,Entire home/apt,3,814,Roxbury,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",179.0
8789,Entire home/apt,91,203.02,Beacon Hill,"[""Wifi"", ""Stove"", ""Kitchen"", ""Refrigerator"", ""Coffee maker"", ""Iron"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Patio or balcony"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",90.0
4765070,Entire home/apt,3,812,Jamaica Plain,"[""Wifi"", ""Kitchen"", ""Window AC unit"", ""Free street parking"", ""Paid dryer \u2013 In building"", ""First aid kit"", ""Refrigerator"", ""Toaster"", ""Free residential garage on premises \u2013 1 space"", ""Iron"", ""TV with standard cable"", ""Coffee maker: drip coffee maker"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hair dryer"", ""Shared patio or balcony"", ""Freezer"", ""Luggage dropoff allowed"", ""Bathtub"", ""Laundromat nearby"", ""Hot water kettle"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Carbon monoxide alarm"", ""Safe"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Private entrance"", ""Microwave"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",98.0
4863108,Private room,4,608,South Boston,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Shower gel"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Microwave"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Portable fans"", ""Gas stove"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",122.0
4909590,Entire home/apt,240,7.04,Allston,"[""Wifi"", ""Stove"", ""Kitchen"", ""Breakfast"", ""Window AC unit"", ""Crib"", ""Free street parking"", ""Paid dryer \u2013 In building"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Hair dryer"", ""Shower gel"", ""Elevator"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""43\"" HDTV with standard cable"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Microwave"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",79.0
5019306,Entire home/apt,3,601.01,South Boston,"[""Wifi"", ""Stove"", ""City skyline view"", ""Kitchen"", ""Dishwasher"", ""Barbecue utensils"", ""First aid kit"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Ceiling fan"", ""Iron"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""37\"" HDTV with Amazon Prime Video, Apple TV, Netflix"", ""BBQ grill"", ""Patio or balcony"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""Bathtub"", ""Laundromat nearby"", ""Hot water kettle"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Harbor view"", ""Free parking on premises"", ""Private entrance"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Sonos and Amazon Tap Bluetooth sound system"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Fireplace guards"", ""Central air conditioning"", ""Dishes and silverware"", ""Coffee maker: Keurig coffee machine"", ""Portable fans"", ""Indoor fireplace"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",381.0
5048406,Private room,2,915,Dorchester,"[""Wifi"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Carbon monoxide alarm"", ""Host greets you"", ""Smoke alarm"", ""Dedicated workspace"", ""Pocket wifi"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",85.0
5049582,Private room,30,1204,Jamaica Plain,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Washer"", ""Host greets you"", ""Dishes and silverware"", ""Smoke alarm"", ""Indoor fireplace"", ""First aid kit"", ""Dryer"", ""Air conditioning"", ""Fire extinguisher"", ""Essentials"", ""Coffee maker""]",60.0
