Census Tract,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More races,Occupied,Vacant
000101,1876,1211,83,183,274,7,0,39,79,697,29
000102,3714,1565,298,554,883,8,2,177,227,1606,89
000201,3953,2712,138,422,421,1,0,101,158,1544,64
000202,4148,2394,221,778,536,1,0,64,154,1539,67
000301,3136,2218,120,265,403,0,1,30,99,1290,47
000302,3072,2022,91,233,550,0,3,52,121,1323,48
000401,5853,3717,177,445,1242,6,2,42,222,2957,97
000402,3644,2526,93,220,610,4,0,57,134,1510,111
000502,6986,5158,343,531,690,27,22,34,181,2024,128
000503,2418,1621,82,212,381,7,0,14,101,1412,67
000505,2196,1383,142,243,328,0,0,23,77,1049,35
000506,2895,2000,75,207,477,6,0,18,112,1569,71
000601,3758,2333,93,402,686,3,1,49,191,1542,68
000603,1757,401,396,445,420,0,0,10,85,866,146
000604,2591,1377,110,361,550,1,1,51,140,1293,44
000701,4517,2644,145,419,1045,3,0,47,214,2304,80
000703,2442,1250,99,248,726,3,0,15,101,1315,60
000704,5312,2669,287,699,1387,2,4,58,206,2645,90
000804,3813,1661,217,818,824,5,4,70,214,1444,80
000805,4616,2194,176,532,1437,4,0,64,209,1805,151
000806,1972,949,150,208,530,0,4,10,121,788,267
000807,2282,1225,204,210,520,0,10,0,113,40,0
010103,4697,2661,352,513,942,13,4,55,157,366,54
010104,5063,3135,184,533,962,19,1,38,191,1963,162
010204,3443,1690,168,265,1097,0,12,32,179,1165,173
010205,4906,2343,217,417,1667,7,0,43,212,2963,309
010206,2154,1040,50,223,749,0,0,9,83,1291,93
010300,5186,3584,329,486,608,4,4,19,152,317,49
010403,3179,1571,246,332,859,1,2,21,147,2039,164
010404,5747,3291,394,535,1247,0,24,19,237,1670,226
010405,6853,3793,683,547,1332,5,0,164,329,912,93
010408,1438,821,39,194,311,0,0,8,65,903,78
010500,3876,2086,306,300,987,5,3,30,159,1654,286
010600,3529,2472,149,249,507,0,1,12,139,2155,376
010701,2543,1963,53,161,240,0,0,13,113,1403,178
010702,2328,1856,52,157,154,4,0,14,91,1342,253
010801,2856,2235,86,202,237,3,0,10,83,1629,185
